Date,Close,High,Low,Open,Volume
,PEP,PEP,PEP,PEP,PEP
2015-01-02,68.54855346679688,69.20180715313839,68.26547539265218,68.90421466856422,3545700
2015-01-05,68.03318786621094,68.99129929270192,68.02592789406904,68.55578956796732,6441000
2015-01-06,67.51785278320312,68.67920497034542,67.45978960403612,68.28724943784555,6195000
2015-01-07,69.49214172363281,69.84780844533849,68.54129006256483,69.04937746823381,6526300
2015-01-08,70.75509643554688,71.06720878692445,70.17442049046517,70.21796924813862,7131600
2015-01-09,70.27605438232422,70.89301925714872,70.10910820931316,70.80592172143645,4061500
2015-01-12,69.98570251464844,70.65347599928396,69.81876191235776,70.37039798867245,4192700
2015-01-13,69.93490600585938,70.76236580268764,69.55021046459994,70.16717532535964,5371300
2015-01-14,70.16719055175781,70.2615536174219,69.28892182375736,69.28892182375736,5127800
2015-01-15,70.16719055175781,70.63898926686247,69.95669557001146,70.50833740018331,4424000
2015-01-16,70.6171875,70.71880496382624,69.92763409519452,70.15990891278189,4404400
2015-01-20,70.77687072753906,71.3720610785362,70.28329783614609,71.3720610785362,7029500
2015-01-21,70.697021484375,71.29221178349184,70.11634559062092,70.42119794286073,5031100
2015-01-22,71.78582000732422,71.85840314537792,70.43575259611926,70.75512504884169,7620400
2015-01-23,71.51724243164062,71.85112923210892,71.20513001459067,71.39385056711184,4857700
2015-01-26,71.63337707519531,71.82209208264214,70.8930148413319,71.27045593169991,4298700
2015-01-27,70.20346069335938,71.16883217898915,69.13647173953032,70.87849418224692,7365300
2015-01-28,69.47761535644531,70.96558852423738,69.43406659709365,70.55911866965792,6280100
2015-01-29,69.70264434814453,70.02927674873571,68.86067004905694,69.47763497763404,4600300
2015-01-30,68.06946563720703,69.19452301450022,67.90977950234112,69.03483687963431,7741500
2015-02-02,69.19454193115234,69.27438502041309,67.93883242183625,68.12755295442862,6889500
2015-02-03,69.82600402832031,70.08730761320639,69.37598549481073,69.69535223587727,5090400
2015-02-04,70.1163558959961,70.60266884429309,69.70262606065235,69.70262606065235,5064700
2015-02-05,70.12361145019531,70.5736355825284,69.97844523343558,70.5736355825284,4466200
2015-02-06,70.19620513916016,70.45024882564947,69.93490147941772,70.17443075713778,4629200
2015-02-09,69.6590805053711,70.3413739815437,69.3832569106272,70.10184471381457,4217100
2015-02-10,71.12529754638672,71.2051406560112,69.95669080123382,70.21074007971436,6797400
2015-02-11,72.87456512451172,73.13586878512139,72.00355107656712,72.62052143717928,9736400
2015-02-12,72.78019714355469,72.94714329117346,72.13419800916921,72.62051650645691,9062300
2015-02-13,71.9527587890625,72.69312117596516,71.81485249168912,72.69312117596516,5643000
2015-02-17,71.39383697509766,71.64788062950879,71.13253334835012,71.45916011291638,5877800
2015-02-18,72.09790802001953,72.21403989395087,71.2486739637101,71.30673713180747,3472500
2015-02-19,71.6551742553711,72.29391367755709,71.51726240488931,72.07616424482363,4186300
2015-02-20,71.90193939208984,71.90919936595174,71.00915642788948,71.29223449339081,3945500
2015-02-23,72.18505859375,72.20683852774742,71.66971091062396,71.97456907144075,3075700
2015-02-24,72.27938842773438,72.56246652426627,71.96001599565197,72.18502537039834,3389900
2015-02-25,72.2212905883789,72.45355984413862,71.79304639777712,72.35194239085224,3366100
2015-02-26,71.90918731689453,72.11968222171905,71.8438641762955,71.96725602258472,5722000
2015-02-27,71.84386444091797,72.1269424600296,71.83660446824581,72.0180650208936,6461700
2015-03-02,71.85838317871094,72.07613807010483,71.66240820664598,71.84386877022858,3613600
2015-03-03,71.42290496826172,71.82211503101868,71.21966994900524,71.72775749714644,4148100
2015-03-04,71.14157104492188,71.4996155972913,70.9662030809844,71.40462577825163,3884200
2015-03-05,71.04658508300781,71.48500780407707,71.03196783322534,71.39001240503303,3537200
2015-03-06,70.27203369140625,70.98812842185585,70.10397434002608,70.87852134604196,6466100
2015-03-09,70.17704772949219,70.51317202560661,70.12589850127581,70.147818802676,4810500
2015-03-10,69.00057983398438,69.85550466508704,69.00057983398438,69.69474842508237,5390300
2015-03-11,68.41604614257812,69.14675262713995,68.28451875236307,69.02253386272797,4637300
2015-03-12,69.93590545654297,69.97244300469598,68.56948254838882,68.65716931904775,4455000
2015-03-13,68.92020416259766,69.84819852444193,68.64253783126253,69.33670644702312,4703800
2015-03-16,69.74591064453125,69.80436848359399,69.03713025156945,69.09558251578582,4687400
2015-03-17,68.78138732910156,69.62900937855217,68.73023810714142,69.3732632687514,4507400
2015-03-18,69.15403747558594,69.45362970717402,67.40034140064442,68.67907730895755,7692100
2015-03-19,68.75944519042969,69.11018658307034,68.46716162570334,69.0005795494423,4386400
2015-03-20,69.66553497314453,69.76783898254533,68.7594607350157,68.83253024900492,8810400
2015-03-23,70.03821563720703,70.23550951053653,69.66555376802202,69.76054917919848,4739400
2015-03-24,70.04547882080078,70.99539886721318,70.00894129022936,70.66657781660376,7118600
2015-03-25,69.60707092285156,70.46930442158583,69.5851506298504,70.46199579897025,4965600
2015-03-26,69.87743377685547,70.13318541360493,69.26364322828725,69.59976742033832,5077700
2015-03-27,70.11127471923828,70.26472796444025,69.54863326127095,69.62170278408074,4245600
2015-03-30,70.52777862548828,70.64469432433822,69.81899810688816,70.35241065206074,5021200
2015-03-31,69.87016296386719,70.57894364104679,69.87016296386719,70.30858578295052,4397600
2015-04-01,69.48287963867188,69.62171566008018,68.81063098473903,69.53403444643138,4241200
2015-04-02,69.92129516601562,70.09666313595709,69.25634968543142,69.25634968543142,3586200
2015-04-06,70.49856567382812,70.94429151060571,69.80439115292575,69.80439115292575,4861800
2015-04-07,70.30126953125,70.78353848232675,70.28665785463312,70.63739384191803,3376600
2015-04-08,70.16973114013672,70.5862335440126,69.92129365266734,70.22088036254789,3879100
2015-04-09,70.40354919433594,70.60814606143269,69.88474840281305,70.02358438042006,3487000
2015-04-10,70.2939224243164,70.52774814611847,70.25739046534902,70.35238024847816,2704900
2015-04-13,69.80437469482422,70.35240444139703,69.76784272329415,70.15511618556343,3772900
